EffectID,Name,Text,targetType
PawnGeneric,공격 지령,선택한 아군 유닛이 그 유닛의 이동 범위 내 적을 하나 선택해 공격합니다.,2 Units
,,,
Or_L,제왕의 위엄,카드를 한 장 뽑습니다. 아군 유닛을 선택해 체력을 1 회복시킵니다.,1 Unit
Or_B,출근이다,아군 리더를 이 유닛의 이동범위 안 원하는 칸으로 이동시킵니다.,1 Cell
Or_N,풍차 돌격,이동범위 내 적을 하나 선택해 공격합니다. 적 유닛이 이 공격으로 파괴되었다면 이동범위 내 모든 적을 공격합니다.,1 Unit
Or_R,뿌리 박기,"이 유닛이 이번 턴 기본 이동을 수행하지 않았다면, 이동범위 내 선택된 적 하나와 이 유닛은 다음 상대 턴 종료까지 기본 이동을 수행할 수 없습니다.",1 Unit
,,,
Cl_L,서리 영역,카드를 한 장 뽑습니다. 이동범위 내 아군을 하나 선택해 체력을 3 회복시킵니다.,1 Unit
Cl_B,라이트닝 체인,이동범위 안에 유닛이 3기 이상 존재한다면 턴 종료시까지 공격력을 +1 얻습니다. 이동범위 내 적을 모두 공격합니다.,None
Or_N,얼음 칼날,이동범위 내 적을 하나 선택해 공격합니다. 공격받은 적은 다음 턴 끝까지 공격력 -3을 얻습니다.,1 Unit
Cl_R,번개 돌격,"이동범위 내 적을 하나 선택해 공격합니다. 선택한 적 방향으로 한 칸 이동합니다. 이동할 수 없었다면, 선택한 적을 다시 공격합니다.",1 Unit