EventID,Timing,Name,Text
Or_L,TurnEnd,귤 먹기,자신 체력을 1 회복합니다.
Or_B,OnDestroy,망상 강화,내 리더의 체력을 2 회복합니다.
Or_N,OnDestroy,고귀한 희생,이동범위 내 모든 적 유닛에게 피해를 2 줍니다.
Or_R,TurnEnd,귤 발사,이 유닛이 이동범위 내 적을 모두 공격합니다
Or_P,TurnEnd,귤 요정,이 유닛이 상대편 영역에 있다면 카드를 한 장 뽑습니다.
,,,
Cl_L,TurnStart,Eisprinzessin,이동범위 안에 아군 나이트가 있으면 자신 체력을 2 회복합니다.
Cl_N,TurnStart,Eisritterin,이 유닛이 아군 리더의 이동범위 안에 있으면 이번 턴 끝까지 공격력 +1을 얻습니다.
Cl_P,TurnEnd,Mistiltein,이 유닛이 상대편 영역에 있다면 적 유닛 모두에게 2데미지를 주고 이 유닛을 파괴합니다.
,,,
Cl_Blitz,TurnStart,Blitzschwert,이동범위 안에 아군 군주가 있으면 이번 턴 끝까지 공격력 +1을 얻습니다.